Symbol,Name,Outstanding,IPO Year,Sector,Industry
EDBL,Edible Garden AG Incorporated Common Stock,2739581,2022,Consumer Staples,Farming/Seeds/Milling
EDBLW,Edible Garden AG Incorporated Warrant,2739573,2022,Consumer Staples,Farming/Seeds/Milling
EDD,Morgan Stanley Emerging Markets Domestic Debt Fund Inc. Common Stock,0,2007,Finance,Finance Companies
EDF,Virtus Stone Harbor Emerging Markets Income Fund Common Shares of Beneficial Interest,0,2010,Finance,Investment Managers
EDI,Virtus Stone Harbor Emerging Markets Total Income Fund Common Shares of Beneficial Interest,0,2012,Finance,Finance Companies
EDIT,Editas Medicine Inc. Common Stock,81632619,2016,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,45322755,2007,Utilities,Electric Utilities: Central
EDR,Endeavor Group Holdings Inc. Class A Common Stock,703113875,2021,Consumer Discretionary,Services-Misc. Amusement & Recreation
EDRY,EuroDry Ltd. Common Shares ,2840000,,Consumer Discretionary,Marine Transportation
EDSA,Edesa Biotech Inc. Common Shares,20587720,,Health Care,Pharmaceuticals and Biotechnology
EDTK,Skillful Craftsman Education Technology Limited Ordinary Share,14900000,2020,Consumer Discretionary,Educational Services
EDU,New Oriental Education & Technology Group Inc. Sponsored ADR representing 10 Ordinary Share (Cayman Islands),169696617,2006,Consumer Discretionary,Educational Services
EDUC,Educational Development Corporation Common Stock,8575088,,Consumer Discretionary,Consumer Specialties
EE,Excelerate Energy Inc. Class A Common Stock,26254166,2022,Utilities,Oil/Gas Transmission
EEA,The European Equity Fund Inc. Common Stock,0,,Finance,Trusts Except Educational Religious and Charitable
EEFT,Euronet Worldwide Inc. Common Stock,49659298,1997,Finance,Investment Bankers/Brokers/Service
EEIQ,EpicQuest Education Group International Limited Common Stock,11440000,2021,Consumer Discretionary,Educational Services
EEX,Emerald Holding Inc. Common Stock,62876864,2017,Consumer Discretionary,Business Services
EFC,Ellington Financial Inc. Common Stock ,67161740,2010,Real Estate,Real Estate Investment Trusts
EFC^A,Ellington Financial Inc. 6.750% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
EFC^B,Ellington Financial Inc. 6.250% Series B Fixed-Rate Reset Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
EFC^C,Ellington Financial Inc. 8.625% Series C Fixed-Rate Reset Cumulative Redeemable Preferred Stock,-1,,Miscellaneous,Miscellaneous
EFHT,EF Hutton Acquisition Corporation I Common Stock,0,2022,Consumer Discretionary,Auto Manufacturing
EFHTR,EF Hutton Acquisition Corporation I Rights,0,2022,Finance,Blank Checks
EFHTW,EF Hutton Acquisition Corporation I Warrant,0,2022,Consumer Discretionary,Auto Manufacturing
EFOI,Energy Focus Inc. Common Stock,19243609,,Consumer Discretionary,Building Products
EFR,Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest,0,2003,Finance,Trusts Except Educational Religious and Charitable
EFSC,Enterprise Financial Services Corporation Common Stock,37384124,,Finance,Major Banks
EFSCP,Enterprise Financial Services Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of 5% Fixed Rate Non-Cumulative Perpetual Preferred Stock Series A,37384123,,Finance,Major Banks
EFSH,1847 Holdings LLC Common Shares,5074924,2022,Consumer Discretionary,Professional Services
EFT,Eaton Vance Floating Rate Income Trust Common Shares of Beneficial Interest,29090415,2004,Finance,Finance Companies
EFTR,eFFECTOR Therapeutics Inc. Common Stock,61765616,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EFTRW,eFFECTOR Therapeutics Inc. Warrant,61765620,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EFX,Equifax Inc. Common Stock,122720093,,Finance,Finance: Consumer Services
EFXT,Enerflex Ltd Common Shares,123739019,2022,Industrials,Industrial Machinery/Components
EG,Everest Group Ltd. Common Stock,43403580,,Finance,Property-Casualty Insurers
EGAN,eGain Corporation Common Stock,31868763,1999,Technology,Computer Software: Prepackaged Software
EGBN,Eagle Bancorp Inc. Common Stock,29905935,,Finance,Major Banks
EGF,Blackrock Enhanced Government Fund Inc. Common Stock,0,2005,Finance,Trusts Except Educational Religious and Charitable
EGHT,8x8 Inc Common Stock,119945713,,Technology,EDP Services
EGIO,Edgio Inc. Common Stock,221584775,2007,Consumer Discretionary,Business Services
EGLE,Eagle Bulk Shipping Inc. Common Stock,9938990,,Consumer Discretionary,Marine Transportation
EGLX,Enthusiast Gaming Holdings Inc. Common Stock,151767242,,Miscellaneous,Other Pharmaceuticals
EGO,Eldorado Gold Corporation Ordinary Shares,184887733,,Miscellaneous,Miscellaneous
EGP,EastGroup Properties Inc. Common Stock,45398851,,Real Estate,Real Estate Investment Trusts
EGRX,Eagle Pharmaceuticals Inc. Common Stock,12986971,2014,Health Care,Biotechnology: Pharmaceutical Preparations
EGY,VAALCO Energy Inc.  Common Stock,106772598,,Energy,Oil & Gas Production
EH,EHang Holdings Limited ADS,58227973,2019,Consumer Discretionary,Air Freight/Delivery Services
EHAB,Enhabit Inc. Common Stock,50099817,2022,Health Care,Hospital/Nursing Management
EHC,Encompass Health Corporation Common Stock,100230786,,Health Care,Hospital/Nursing Management
EHI,Western Asset Global High Income Fund Inc Common Stock,0,2003,Finance,Investment Managers
EHTH,eHealth Inc. Common Stock,28088802,2006,Finance,Specialty Insurers
EIC,Eagle Point Income Company Inc. Common Stock,17269415,2019,Finance,Finance/Investors Services
EICA,Eagle Point Income Company Inc. 5.00% Series A Term Preferred Stock due 2026,1091176551,2021,Finance,Finance/Investors Services
EICB,Eagle Point Income Company Inc. 7.75% Series B Term Preferred Stock Due 2028,0,,Miscellaneous,Miscellaneous
EIG,Employers Holdings Inc Common Stock,26063813,2007,Finance,Property-Casualty Insurers
EIGR,Eiger BioPharmaceuticals Inc. Common Stock,44296416,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,0,2002,Finance,Finance/Investors Services
EIX,Edison International Common Stock,383288769,,Utilities,Electric Utilities: Central
EJH,E-Home Household Service Holdings Limited Ordinary Shares,24110000,2021,Consumer Discretionary,Other Consumer Services
EKSO,Ekso Bionics Holdings Inc. Common Stock,13806949,,Industrials,Industrial Machinery/Components
EL,Estee Lauder Companies Inc. (The) Common Stock,357413019,1995,Consumer Discretionary,Package Goods/Cosmetics
ELA,Envela Corporation Common Stock,26897210,,Consumer Discretionary,Consumer Specialties
ELAN,Elanco Animal Health Incorporated Common Stock,492675580,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ELBM,Electra Battery Materials Corporation Common Stock,35428974,,Miscellaneous,Miscellaneous
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,200211300,2016,Utilities,Electric Utilities: Central
ELDN,Eledon Pharmaceuticals Inc. Common Stock,22506956,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ELEV,Elevation Oncology Inc. Common stock,42381952,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ELF,e.l.f. Beauty Inc. Common Stock,54457319,2016,Consumer Discretionary,Package Goods/Cosmetics
ELIQ,Electriq Power Holdings Inc. Class A Common Stock,0,2021,Miscellaneous,Industrial Machinery/Components
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),12850000,,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,8561100,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
ELME,Elme Communities Common Stock,87823463,2000,Real Estate,Real Estate Investment Trusts
ELOX,Eloxx Pharmaceuticals Inc. Common Stock,2166356,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ELP,Companhia Paranaense de Energia (COPEL) American Depositary Shares (each representing one Unit consisting one Common Share and four non-voting Class B Preferred Shares),2736553750,2021,Utilities,Electric Utilities: Central
ELS,Equity Lifestyle Properties Inc. Common Stock,186276125,,Real Estate,Real Estate Investment Trusts
ELSE,Electro-Sensors Inc. Common Stock,3428021,,Industrials,Industrial Machinery/Components
ELTK,Eltek Ltd. Ordinary Shares,5849999,1997,Technology,Electrical Products
ELTX,Elicio Therapeutics Inc. Common Stock,0,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ELV,Elevance Health Inc. Common Stock,235647807,,Health Care,Medical Specialities
ELVA,Electrovaya Inc. Common Shares,32972466,,Miscellaneous,Miscellaneous
ELVN,Enliven Therapeutics Inc. Common Stock,46642433,2020,Health Care,Biotechnology: Pharmaceutical Preparations
ELWS,Earlyworks Co. Ltd. American Depositary Shares,0,2023,Miscellaneous,Miscellaneous
ELYM,Eliem Therapeutics Inc Common Stock,26993401,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ELYS,Elys Game Technology Corp. Common Stock,38812842,,Technology,Computer Software: Prepackaged Software
EM,Smart Share Global Limited American Depositary Shares,259182018,2021,Consumer Discretionary,Other Consumer Services
EMAN,eMagin Corporation Common Stock,83041693,,Technology,Industrial Machinery/Components
EMBC,Embecta Corp. Common Stock,57303555,,Health Care,Medical/Dental Instruments
EMCG,Embrace Change Acquisition Corp Ordinary Shares,0,2022,Finance,Blank Checks
EMCGR,Embrace Change Acquisition Corp Rights,0,2022,Finance,Blank Checks
EMCGW,Embrace Change Acquisition Corp Warrants,0,2022,Finance,Blank Checks
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,0,,Finance,Finance/Investors Services
EME,EMCOR Group Inc. Common Stock,47135025,,Industrials,Engineering & Construction
EMF,Templeton Emerging Markets Fund Common Stock,0,1987,Finance,Finance/Investors Services
EMKR,EMCORE Corporation Common Stock,54160478,1997,Technology,Semiconductors
EML,Eastern Company (The) Common Stock,6238315,,Consumer Discretionary,Industrial Machinery/Components
EMLD,FTAC Emerald Acquisition Corp. Class A Common Stock,0,2022,Finance,Blank Checks
EMLDU,FTAC Emerald Acquisition Corp. Unit,0,2021,Finance,Blank Checks
EMLDW,FTAC Emerald Acquisition Corp. Warrant,0,2022,Finance,Blank Checks
EMN,Eastman Chemical Company Common Stock,118555734,,Industrials,Major Chemicals
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,0,2011,Finance,Investment Managers
EMP,Entergy Mississippi LLC First Mortgage Bonds 4.90% Series Due October 1 2066,211446650,2016,Miscellaneous,Miscellaneous
EMR,Emerson Electric Company Common Stock,571500000,,Technology,Consumer Electronics/Appliances
EMX,EMX Royalty Corporation Common Shares (Canada),110664189,,Basic Materials,Metal Mining
ENB,Enbridge Inc Common Stock,2025000000,,Energy,Natural Gas Distribution
ENCP,Energem Corp Class A Ordinary Shares,3403075,2022,Energy,Industrial Machinery/Components
ENER,Accretion Acquisition Corp. Common Stock,0,2021,Finance,Blank Checks
ENERR,Accretion Acquisition Corp. Right,0,2021,Finance,Blank Checks
ENERU,Accretion Acquisition Corp. Unit,0,2021,Finance,Blank Checks
ENERW,Accretion Acquisition Corp. Warrant,0,2021,Finance,Blank Checks
ENFN,Enfusion Inc. Class A Common Stock,232572401,2021,Technology,Computer Software: Prepackaged Software
ENG,ENGlobal Corporation Common Stock,39771617,,Consumer Discretionary,Military/Government/Technical
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),1383331143,2016,Utilities,Electric Utilities: Central
ENJ,Entergy New Orleans LLC First Mortgage Bonds 5.0% Series due December 1 2052,211446650,,Utilities,Power Generation
ENLC,EnLink Midstream LLC Common Units representing Limited Partner Interests,461497730,,Utilities,Natural Gas Distribution
ENLT,Enlight Renewable Energy Ltd. Ordinary Shares,117650000,2023,Miscellaneous,Miscellaneous
ENLV,Enlivex Therapeutics Ltd. Ordinary Shares,18420000,2014,Health Care,Biotechnology: Pharmaceutical Preparations
ENO,Entergy New Orleans LLC First Mortgage Bonds 5.50% Series due April 1 2066,211446650,2016,Utilities,Power Generation
ENOV,Enovis Corporation Common Stock,54539676,,Health Care,Industrial Specialties
ENPH,Enphase Energy Inc. Common Stock,136355373,2012,Technology,Semiconductors
ENR,Energizer Holdings Inc. Common Stock,71476738,2015,Miscellaneous,Industrial Machinery/Components
ENS,EnerSys Common Stock,40909453,2004,Technology,Industrial Machinery/Components
ENSC,Ensysce Biosciences Inc. Common Stock,1284583,,Health Care,Biotechnology: Pharmaceutical Preparations
ENSG,The Ensign Group Inc. Common Stock,56200852,2007,Health Care,Hospital/Nursing Management
ENSV,Enservco Corporation Common Stock,18718107,,Energy,Oilfield Services/Equipment
ENTA,Enanta Pharmaceuticals Inc. Common Stock,21055392,2013,Health Care,Biotechnology: Pharmaceutical Preparations
ENTG,Entegris Inc. Common Stock,150108285,2000,Technology,Semiconductors
ENTX,Entera Bio Ltd. Ordinary Shares,28810000,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ENV,Envestnet Inc Common Stock,54534180,2010,Consumer Discretionary,Business Services
ENVA,Enova International Inc. Common Stock,30787347,2014,Finance,Finance: Consumer Services
ENVB,Enveric Biosciences Inc. Common Stock,2078270,,Health Care,Biotechnology: Pharmaceutical Preparations
ENVX,Enovix Corporation Common Stock,160126938,2021,Miscellaneous,Industrial Machinery/Components
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,0,2002,Finance,Finance/Investors Services
ENZ,Enzo Biochem Inc. Common Stock ($0.01 Par Value),49662820,1988,Health Care,Medical Specialities
EOD,Allspring Global Dividend Opportunity Fund Common Shares of Beneficial Interest,0,2007,Finance,Investment Managers
EOG,EOG Resources Inc. Common Stock,582260897,,Energy,Oil & Gas Production
EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund Shares of Beneficial Interest,0,2004,Finance,Finance/Investors Services
EOLS,Evolus Inc. Common Stock,56971563,2018,Health Care,Biotechnology: Pharmaceutical Preparations
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,0,2005,Finance,Trusts Except Educational Religious and Charitable
EOSE,Eos Energy Enterprises Inc. Class A Common Stock,115848976,,Miscellaneous,Industrial Machinery/Components
EOSEW,Eos Energy Enterprises Inc. Warrant,115848975,,Miscellaneous,Industrial Machinery/Components
EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST,15624921,2009,Finance,Investment Bankers/Brokers/Service
EP,Empire Petroleum Corporation Common Stock,22104590,2022,Energy,Oil & Gas Production
EP^C,El Paso Corporation Preferred Stock,-1,,Miscellaneous,Miscellaneous
EPAC,Enerpac Tool Group Corp. Common Stock,57180193,,Technology,Industrial Machinery/Components
EPAM,EPAM Systems Inc. Common Stock,57960775,2012,Technology,EDP Services
EPC,Edgewell Personal Care Company Common Stock,50811891,,Consumer Discretionary,Package Goods/Cosmetics
EPD,Enterprise Products Partners L.P. Common Stock,2174508951,,Utilities,Natural Gas Distribution
EPIX,ESSA Pharma Inc. Common Stock,44100837,,Health Care,Pharmaceuticals and Biotechnology
EPM,Evolution Petroleum Corporation Inc. Common Stock,33268685,,Energy,Oil & Gas Production
EPOW,Sunrise New Energy Co. Ltd Ordinary Shares,25359999,2021,Consumer Discretionary,Business Services
EPR,EPR Properties Common Stock,75324367,1997,Real Estate,Real Estate Investment Trusts
EPR^C,EPR Properties 5.75% Series C Cumulative Convertible Preferred Shares,-1,,Miscellaneous,Miscellaneous
EPR^E,EPR Properties Series E Cumulative Conv Pfd Shs Ser E,-1,,Miscellaneous,Miscellaneous
EPR^G,EPR Properties 5.750% Series G Cumulative Redeemable Preferred Shares,-1,,Miscellaneous,Miscellaneous
EPRT,Essential Properties Realty Trust Inc. Common Stock,156008550,2018,Real Estate,Real Estate Investment Trusts
EPSN,Epsilon Energy Ltd. Common Share,22926444,,Miscellaneous,Miscellaneous
EQ,Equillium Inc. Common Stock,34568500,2018,Health Care,Biotechnology: Pharmaceutical Preparations
EQBK,Equity Bancshares Inc. Class A Common Stock,15480961,,Finance,Major Banks
EQC,Equity Commonwealth Common Shares of Beneficial Interest,109730456,,Real Estate,Real Estate Investment Trusts
EQC^D,Equity Commonwealth 6.50% Pfd Conv Shs Ser D,-1,,Miscellaneous,Miscellaneous
EQH,Equitable Holdings Inc. Common Stock,356083251,2018,Finance,Specialty Insurers
EQH^A,Equitable Holdings Inc. Depositary Shares,-1,,Miscellaneous,Miscellaneous
EQH^C,Equitable Holdings Inc. Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series C,-1,,Miscellaneous,Miscellaneous
EQIX,Equinix Inc. Common Stock REIT,93564927,2000,Real Estate,Real Estate Investment Trusts
EQNR,Equinor ASA,3121942270,,Energy,Integrated oil Companies
EQR,Equity Residential Common Shares of Beneficial Interest,379032411,,Real Estate,Real Estate Investment Trusts
EQRX,EQRx Inc.  Common Stock,487415000,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EQRXW,EQRx Inc. Warrant,487415000,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EQS,Equus Total Return Inc. Common Stock,13518146,,Finance,Finance Companies
EQT,EQT Corporation Common Stock,361657680,,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,312319598,,Basic Materials,Precious Metals
ERAS,Erasca Inc. Common Stock,150756576,2021,Health Care,Biotechnology: Pharmaceutical Preparations
ERC,Allspring Multi-Sector Income Fund Common Stock,0,2003,Finance,Finance/Investors Services
ERF,Enerplus Corporation Common Stock,226966000,,Energy,Oil & Gas Production
ERH,Allspring Utilities and High Income Fund Common Shares,0,2004,Finance,Finance/Investors Services
ERIC,Ericsson American Depositary Shares,3334151735,,Technology,Radio And Television Broadcasting And Communications Equipment
ERIE,Erie Indemnity Company Class A Common Stock,46191610,,Finance,Specialty Insurers
ERII,Energy Recovery Inc. Common Stock,56406602,2008,Technology,Industrial Machinery/Components
ERJ,Embraer S.A. Common Stock,183658202,2000,Industrials,Aerospace
ERNA,Eterna Therapeutics Inc. Common Stock,5270072,,Health Care,Biotechnology: Pharmaceutical Preparations
ERO,Ero Copper Corp. Common Shares,92520412,2021,Basic Materials,Metal Mining
ES,Eversource Energy (D/B/A) Common Stock,349085815,,Utilities,Electric Utilities: Central
ESAB,ESAB Corporation Common Stock,60259369,2022,Industrials,Office Equipment/Supplies/Services
ESAC,ESGEN Acquisition Corporation Class A Ordinary Shares,0,2021,Finance,Blank Checks
ESACW,ESGEN Acquisition Corporation Warrants,0,2021,Finance,Blank Checks
ESCA,Escalade Incorporated Common Stock,13736800,,Consumer Discretionary,Recreational Games/Products/Toys
ESE,ESCO Technologies Inc. Common Stock,25758076,,Telecommunications,Telecommunications Equipment
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),7010000,,Consumer Discretionary,Marine Transportation
ESGL,ESGL Holdings Limited Ordinary Shares,0,,Miscellaneous,Miscellaneous
ESGLW,ESGL Holdings Limited Warrants,0,,Miscellaneous,Miscellaneous
ESGR,Enstar Group Limited Ordinary Shares,16031404,,Finance,Property-Casualty Insurers
ESGRO,Enstar Group Limited Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares Series E,16031405,,Finance,Property-Casualty Insurers
ESGRP,Enstar Group Limited Depositary Shares Each Representing 1/1000th of an interest in Preference Shares,16031405,,Finance,Property-Casualty Insurers
ESHA,ESH Acquisition Corp. Class A Common Stock,0,2023,Finance,Blank Checks
ESHAR,ESH Acquisition Corp. Right,0,2023,Finance,Blank Checks
ESI,Element Solutions Inc. Common Stock,241490741,2014,Industrials,Major Chemicals
ESLT,Elbit Systems Ltd. Ordinary Shares,44350000,,Industrials,Military/Government/Technical
ESMT,EngageSmart Inc. Common Stock,167360462,2021,Technology,EDP Services
ESNT,Essent Group Ltd. Common Shares,107258771,2013,Finance,Property-Casualty Insurers
ESOA,Energy Services of America Corporation Common Stock,16667184,,Industrials,Water Sewer Pipeline Comm & Power Line Construction
ESP,Espey Mfg. & Electronics Corp. Common Stock,2702632,1960,Technology,Industrial Machinery/Components
ESPR,Esperion Therapeutics Inc. Common Stock,106994268,2013,Health Care,Biotechnology: Pharmaceutical Preparations
ESQ,Esquire Financial Holdings Inc. Common Stock,8190448,2017,Finance,Commercial Banks
ESRT,Empire State Realty Trust Inc. Class A Common Stock,161098292,2013,Real Estate,Real Estate Investment Trusts
ESS,Essex Property Trust Inc. Common Stock,64183303,1994,Real Estate,Real Estate Investment Trusts
ESSA,ESSA Bancorp Inc. Common Stock,10402352,2007,Finance,Banks
ESTA,Establishment Labs Holdings Inc. Common Shares,25737847,2018,Health Care,Industrial Specialties
ESTC,Elastic N.V. Ordinary Shares,96492356,2018,Technology,Computer Software: Prepackaged Software
ESTE,Earthstone Energy Inc. Class A Common Stock,140588696,,Energy,Oil & Gas Production
ET,Energy Transfer LP Common Units ,3143207052,,Utilities,Natural Gas Distribution
ET^C,Energy Transfer L.P. 7.375% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,-1,,Miscellaneous,Miscellaneous
ET^D,Energy Transfer L.P. 7.625% Series D Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,-1,,Miscellaneous,Miscellaneous
ET^E,Energy Transfer L.P. 7.600% Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Unit,-1,,Miscellaneous,Miscellaneous
ETAO,Etao International Co. Ltd. Ordinary Shares,102296900,,Finance,Blank Checks
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest,29371398,2005,Finance,Investment Managers
ETD,Ethan Allen Interiors Inc. Common Stock,25356461,,Consumer Discretionary,Home Furnishings
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund Common Shares of Beneficial Interest,0,2004,Finance,Investment Managers
ETI^,Entergy Texas Inc 5.375% Series A Preferred Stock Cumulative No Par Value,-1,,Miscellaneous,Miscellaneous
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,0,2007,Finance,Finance Companies
ETN,Eaton Corporation PLC Ordinary Shares,399000000,,Industrials,Industrial Machinery/Components
ETNB,89bio Inc. Common Stock,75480884,2019,Health Care,Biotechnology: Pharmaceutical Preparations
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,16388138,2004,Finance,Investment Managers
ETON,Eton Pharmaceuticals Inc. Common Stock,25504377,2018,Health Care,Biotechnology: Pharmaceutical Preparations
ETR,Entergy Corporation Common Stock,211446651,,Utilities,Electric Utilities: Central
ETRN,Equitrans Midstream Corporation Common Stock ,433261000,2018,Utilities,Natural Gas Distribution
ETSY,Etsy Inc. Common Stock,123013800,2015,Consumer Discretionary,Business Services
ETV,Eaton Vance Corporation Eaton Vance Tax-Managed Buy-Write Opportunities Fund Common Shares of Beneficial Interest,109268349,2005,Finance,Investment Bankers/Brokers/Service
ETW,Eaton Vance Corporation Eaton Vance Tax-Managed Global Buy-Write Opportunites Fund Common Shares of Beneficial Interest,109597785,2005,Finance,Investment Bankers/Brokers/Service
ETWO,E2open Parent Holdings Inc.Class A Common Stock,303203439,2020,Technology,EDP Services
ETX           ,Eaton Vance Municipal Income 2028 Term Trust Common Shares of Beneficial Interest,10884956,2013,Finance,Investment Bankers/Brokers/Service
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund Common Shares of Beneficial Interest,0,2006,Finance,Finance Companies
EU,enCore Energy Corp. Common Shares,143147021,2023,Miscellaneous,Miscellaneous
EUDA,EUDA Health Holdings Limited Ordinary Shares,24777508,2021,Finance,Blank Checks
EURN,Euronav NV Ordinary Shares,220024713,2015,Consumer Discretionary,Marine Transportation
EVA,Enviva Inc. Common Stock,74415356,2015,Miscellaneous,Miscellaneous
EVAX,Evaxion Biotech A/S American Depositary Share,24139413,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EVBG,Everbridge Inc. Common Stock,40760697,2016,Technology,Computer Software: Prepackaged Software
EVBN,Evans Bancorp Inc. Common Stock,5477505,,Finance,Major Banks
EVC,Entravision Communications Corporation Common Stock,87996741,2000,Industrials,Broadcasting
EVCM,EverCommerce Inc. Common Stock,188740693,2021,Technology,EDP Services
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,0,2022,Finance,Blank Checks
EVER,EverQuote Inc. Class A Common Stock,33366287,2018,Technology,EDP Services
EVEX,Eve Holding Inc. Common Stock,269094021,2022,Industrials,Aerospace
EVF,Eaton Vance Senior Income Trust Common Stock,17538858,1998,Finance,Investment Bankers/Brokers/Service
EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund Common Shares of Beneficial Interest,0,2005,Finance,Investment Managers
EVGN,Evogene Ltd Ordinary Shares,41240000,,Industrials,Agricultural Chemicals
EVGO,EVgo Inc. Class A Common Stock,299187367,,Consumer Discretionary,Other Specialty Stores
EVGOW,EVgo Inc. Warrants,299187368,,Consumer Discretionary,Other Specialty Stores
EVGR,Evergreen Corporation Class A Ordinary Share,0,2022,Finance,Blank Checks
EVH,Evolent Health Inc Class A Common Stock,113244482,2015,Consumer Discretionary,Other Consumer Services
EVI,EVI Industries Inc.  Common Stock,12574735,1999,Industrials,Industrial Machinery/Components
EVLO,Evelo Biosciences Inc. Common Stock,5599680,2018,Health Care,Biotechnology: Pharmaceutical Preparations
EVLV,Evolv Technologies Holdings Inc. Class A Common Stock,148428761,2020,Technology,Computer peripheral equipment
EVLVW,Evolv Technologies Holdings Inc. Warrant,148428761,2020,Technology,Computer peripheral equipment
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,0,2002,Finance,Finance/Investors Services
EVN,Eaton Vance Municipal Income Trust Common Stock,39667163,1999,Finance,Investment Bankers/Brokers/Service
EVO,Evotec SE American Depositary Shares,353905306,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EVOK,Evoke Pharma Inc. Common Stock,3343069,2013,Health Care,Biotechnology: Pharmaceutical Preparations
EVR,Evercore Inc. Class A Common Stock,37890216,2006,Finance,Investment Managers
EVRG,Evergy Inc. Common Stock,229702153,,Utilities,Power Generation
EVRI,Everi Holdings Inc. Common Stock,89042226,,Consumer Discretionary,Services-Misc. Amusement & Recreation
EVT,Eaton Vance Tax Advantaged Dividend Income Fund Common Shares of Beneficial Interest,0,2003,Finance,Finance Companies
EVTC,Evertec Inc. Common Stock,64630611,2013,Technology,EDP Services
EVTL,Vertical Aerospace Ltd. Ordinary Shares,214210000,2021,Industrials,Aerospace
EVTV,Envirotech Vehicles Inc. Common Stock,15021087,,Consumer Discretionary,Auto Manufacturing
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,0,2003,Finance,Finance/Investors Services
EW,Edwards Lifesciences Corporation Common Stock,607916300,,Health Care,Industrial Specialties
EWBC,East West Bancorp Inc. Common Stock,141483667,,Finance,Major Banks
EWCZ,European Wax Center Inc. Class A Common Stock,62697024,2021,Consumer Discretionary,Package Goods/Cosmetics
EWTX,Edgewise Therapeutics Inc. Common Stock,63279401,2021,Health Care,Biotechnology: Pharmaceutical Preparations
EXAI,Exscientia Plc American Depositary Shares,122960000,2021,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXAS,Exact Sciences Corporation Common Stock,180665327,2001,Health Care,Medical Specialities
EXC,Exelon Corporation Common Stock,995219194,,Utilities,Power Generation
EXEL,Exelixis Inc. Common Stock,318380784,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXFY,Expensify Inc. Class A Common Stock,82848156,2021,Technology,Computer Software: Prepackaged Software
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Common Shares of Beneficial Interest,0,2007,Finance,Finance Companies
EXK,Endeavour Silver Corporation Ordinary Shares (Canada),191276398,,Miscellaneous,Miscellaneous
